0 V_SCALE_BC_RAD_NI V_SCALE_DU_RAD_NI V_SCALE_DRYDEP_ACC V_SCALE_DRYDEP_AIT V_SCALE_DRYDEP_COA V_SCALE_EMI_BB V_SCALE_EMI_BF V_SCALE_EMI_ANTH_SO2 V_SCALE_EMI_DUST V_SCALE_SO2_REACTIONS V_SCALE_SO2_SO4_Fraction V_SCALE_EMI_SSA V_SCALE_EMI_CMR_BB V_SCALE_EMI_CMR_BF V_SCALE_EMI_CMR_FF V_SCALE_EMI_DMS V_SCALE_EMI_FF V_SCALE_NUC_FT V_SCALE_SO4_COATING V_SCALE_PH_PERT V_SCALE_WETDEP_BC V_SCALE_WETDEP_IC V_SCALE_KAPPA_SS V_SCALE_KAPPA_SO4 V_SCALE_CDNC_MIN INSTALL START END
PPE_PI_ENS_1 0.2970 5.4507e-03 0.3007 1.3612 0.5676 0.6529 3.1692 1.0186 1.8393 1.1731 2.2049 2.2483 0.6250 1.2137 0.9995 2.2763 1.3494 7.2098 0.4535 2.0628e-05 1.0973 0.8198 0.9035 0.5536 9.2605 0 0 0
PPE_PI_ENS_2 0.5238 6.4043e-03 1.1456 0.7680 0.6325 2.7380 0.4674 1.3404 0.7284 1.6150 1.8089 0.5733 0.4931 2.3269 0.6583 0.6500 1.4836 3.3484 2.0002 1.8898e-05 0.9039 0.8499 0.7785 0.5651 1.3788 0 0 0
PPE_PI_ENS_3 0.4338 4.1672e-03 0.6136 0.8372 1.9589 0.5881 1.8782 0.7399 1.0740 1.7154 1.7226 1.3343 0.6805 1.3028 0.9950 0.5309 0.6573 5.8098 3.5399 2.8512e-05 1.6110 1.4076 0.9115 0.5864 37.7563 0 0 0
PPE_PI_ENS_4 0.2135 6.8675e-03 0.9370 0.6714 0.3553 2.1903 3.1934 1.3513 1.4836 0.9978 1.6724 2.0088 0.5706 2.2965 0.6888 1.2233 1.6967 2.6665 1.3373 2.0117e-05 1.2400 1.3308 0.5052 0.5349 26.4367 0 0 0
PPE_PI_ENS_5 0.7193 7.1834e-03 1.1874 1.0130 1.4505 1.0061 3.8575 0.7693 1.7295 0.6688 2.1554 2.4228 1.0282 1.7486 1.1458 1.0964 0.7207 8.5096 0.3613 1.9841e-05 1.3054 1.5660 0.6123 0.7810 17.3974 0 0 0
PPE_PI_ENS_6 0.6845 5.8596e-04 0.2371 1.0615 2.7079 2.3348 3.5607 0.8804 0.8956 1.9808 2.0896 1.9518 0.4275 2.4915 0.8167 0.7820 1.1083 6.0286 2.4412 2.4200e-05 1.2860 1.4914 1.1350 0.6475 56.1450 0 0 0
PPE_PI_ENS_7 0.7927 8.3312e-03 1.3336 1.1889 3.9514 1.0968 1.6126 1.4964 1.1738 1.3066 2.6224 1.3177 1.3231 1.1155 0.7992 1.7133 1.0463 2.0081 3.3343 3.9475e-06 1.5994 1.8258 0.6315 0.4968 24.6820 0 0 0
PPE_PI_ENS_8 0.3229 1.2020e-03 0.6948 1.2941 4.5617 0.4034 3.9886 1.2364 1.6827 0.9024 1.3400 2.4826 0.4732 3.1966 1.3941 2.2989 0.5233 2.2212 2.7632 2.3166e-05 1.9095 1.3988 0.8133 0.7758 42.6192 0 0 0
PPE_PI_ENS_9 0.8110 2.4441e-03 0.8783 1.1290 0.2281 1.4124 1.7960 1.0915 1.4157 1.8227 2.8936 0.9170 0.7459 2.3998 0.5476 1.1055 1.0124 1.7557 1.5805 1.3234e-05 0.7261 0.8827 1.0924 0.6769 18.4251 0 0 0
PPE_PI_ENS_10 0.5153 2.1854e-03 0.1087 0.6118 1.8336 3.5912 2.9854 0.9096 1.6514 0.6433 2.6707 1.0359 0.9047 3.3174 0.6358 2.7093 1.5547 9.9426 0.3731 1.7486e-05 1.2877 1.6336 0.7505 0.6743 54.5988 0 0 0
PPE_PI_ENS_11 0.3219 3.2533e-03 0.8074 0.3373 0.7039 3.6680 3.4586 0.6605 1.0093 1.2078 1.8638 1.9081 0.9436 2.6478 0.6007 1.7990 1.6153 0.1078 3.1904 6.7601e-06 0.8928 0.7634 0.9822 0.6097 45.7350 0 0 0
PPE_PI_ENS_12 0.6604 5.8110e-03 0.3984 1.3084 3.9223 1.5509 3.9548 1.2849 1.7814 1.0042 2.2537 1.8773 1.1617 1.5165 1.4961 1.5950 1.6781 5.8905 2.4761 3.0236e-05 1.3311 0.7231 0.7965 0.5777 41.9885 0 0 0
PPE_PI_ENS_13 0.4938 8.0335e-03 0.3241 0.2569 4.9112 1.1834 3.1076 0.9692 0.7839 1.5797 1.3896 1.9893 0.8222 1.4725 0.7478 2.4440 1.1409 1.5811 0.4054 2.6618e-06 1.0626 1.7973 1.1470 0.4041 59.8075 0 0 0
PPE_PI_ENS_14 0.6359 2.7208e-03 0.1404 0.9731 4.2968 3.5762 1.2200 0.8506 0.7629 1.5910 1.0607 2.4524 0.5064 1.3226 0.8024 1.1490 1.0390 7.6321 1.2793 3.3922e-06 1.7733 1.0555 0.5972 0.5203 55.1397 0 0 0
PPE_PI_ENS_15 0.3928 9.0763e-03 0.8909 0.9112 1.1293 0.5100 2.2219 1.2304 0.9696 1.7038 1.5992 1.9362 0.9273 1.8557 0.7397 2.9497 1.9652 9.1735 3.8388 9.3005e-06 1.3669 1.6215 0.8320 0.4746 37.9573 0 0 0
PPE_PI_ENS_16 0.2748 3.9895e-03 0.6731 1.0368 0.8348 1.3719 3.3370 0.9366 0.6166 0.9504 1.0011 2.3567 0.8464 2.9687 1.1130 2.2617 0.5980 4.5131 4.0920 1.2310e-05 0.6263 1.0174 0.6343 0.7779 12.4790 0 0 0
PPE_PI_ENS_17 0.5923 4.5974e-03 1.2103 1.4607 4.1806 1.2278 3.2311 1.2019 1.2353 0.8795 1.1167 0.7182 1.2170 3.2944 1.1507 0.7241 0.6719 5.5778 1.4448 4.6513e-06 1.7488 1.0467 0.9211 0.4232 33.2584 0 0 0
PPE_PI_ENS_18 0.2942 2.8901e-03 0.7296 0.3781 0.4274 1.9971 1.3377 0.9546 1.2089 1.0821 2.1495 0.9523 0.3835 2.9873 1.4748 0.5257 0.9951 7.7049 4.7636 1.5721e-05 0.7376 1.8750 1.0276 0.6571 1.7622 0 0 0
PPE_PI_ENS_19 0.8376 9.8193e-03 0.3326 1.2629 3.5441 2.3240 0.6997 0.8007 1.4998 1.2823 2.9986 1.1234 0.5316 1.0636 0.5848 2.0480 0.6832 5.9500 4.0045 2.9827e-05 0.5213 1.8037 0.7229 0.6187 10.1843 0 0 0
PPE_PI_ENS_20 0.8161 8.3939e-03 0.2261 1.2313 3.4348 1.2553 3.2978 1.0878 1.4414 1.8381 1.2543 1.6679 1.2677 1.8074 1.2977 0.7998 1.0760 0.5947 0.4906 2.4823e-05 1.9666 1.9313 0.7037 0.4138 42.0402 0 0 0
PPE_PI_ENS_21 0.2538 9.2762e-05 1.4852 1.5358 3.8373 2.9525 3.9123 1.4444 1.8561 0.5717 2.7302 0.7249 1.1354 3.0221 0.9341 1.0897 1.2027 8.6811 1.8528 3.1026e-05 0.7917 1.8554 0.8641 0.4833 25.4304 0 0 0
