0 SCALE_EMI_DMS SCALE_EMI_SHP_SO2 SCALE_EMI_ANTNS_SO2 SCALE_EMI_ANT_BC SCALE_EMI_ANT_OC SCALE_EMI_BB_SO2 SCALE_EMI_BB_BC SCALE_EMI_BB_OC SCALE_FRICV SCALE_EMI_SS_ACC SCALE_EMI_SS_COARSE SCALE_SEASALT_EXPO SCALE_EMI_CMR_FF SCALE_EMI_CMR_BB BC_RAD_NI DU_RAD_NI OC_RAD_NI SCALE_SO2_REACTIONS SCALE_DMS_REACTIONS SCALE_WETDEP_IC SCALE_WETDEP_BC SCALE_DRYDEP_ACC SCALE_SO4_COATING KAPPA_SO4 KAPPA_OC SCALE_ACTIVATION SCALE_VERTICAL_VELOCITY SCALE_NUC_FT INSTALL START END
PPE_ENS_126 1.6641332 2.0712583 1.0327033 1.5495088 1.4852989 0.9941486 1.0480341 3.0680419 0.8498193 1.4181557 2.2771161 1.0831668 1.8683643e-08 5.2505907e-08 0.6827234 4.1540805e-03 2.1979475e-02 1.0800558 0.9117327 0.9700455 2.4197053 2.6359549 2.5773070 0.5179441 0.2439945 0.8593776 0.5021207 1.0017821 1 1 0
PPE_ENS_127 0.3020783 2.0087487 1.4131038 0.7191784 0.9702565 2.2818683 0.4394736 0.8458087 1.0523272 0.3611429 1.1834687 0.9762913 3.9730556e-08 1.0181614e-07 0.5724228 4.5212399e-03 2.1011603e-02 0.8495944 1.8087764 1.1257030 1.4328324 1.7543310 2.1851735 0.3960489 9.8600014e-02 1.0397691 0.6986365 4.0525373 1 1 0
PPE_ENS_128 0.5317749 1.5116834 1.8057383 0.9700450 1.5531161 2.7739555 2.5383602 0.3005115 1.0019101 2.0703877 1.7320815 1.0468842 1.9414613e-08 1.3984932e-07 0.7387100 3.2334753e-03 2.2208567e-02 1.6164375 1.7931803 1.1349276 1.4358920 0.2450686 3.8937607 0.5872001 0.1572919 0.8875958 1.6814769 2.2843072 1 1 0
PPE_ENS_129 1.1413635 1.1134735 0.8196026 1.4574383 0.6734926 2.4698985 1.2807357 2.7794702 1.0004922 0.7234253 1.5087384 1.0665539 2.8265662e-08 4.7774139e-08 0.5689126 3.6757146e-04 1.7293529e-02 0.6941879 1.5551916 0.9167651 1.7111401 5.8832589 2.2684068 0.3141320 0.1371620 0.8922872 0.5732299 6.1661841 1 1 0
PPE_ENS_130 2.7091627 3.1240328 0.8870646 1.3409412 1.1062788 2.6324406 3.9813620 3.8440348 0.8847954 0.3082998 1.7509545 0.9350506 4.3564351e-08 1.8950379e-07 0.8301022 2.2813448e-03 1.8629250e-02 1.2800851 1.9203431 1.0061500 1.4960488 1.1323122 2.4577350 0.7829431 0.1882453 1.0027054 1.1397739 3.1996348 1 1 0
PPE_ENS_131 1.4048056 1.7154837 0.8713588 1.1545125 1.6283576 0.7589827 1.5673894 3.3582858 1.0289771 1.2717258 0.6624729 0.9238898 3.9841964e-08 1.7048070e-07 0.7865760 2.8774197e-03 1.2482519e-02 0.5010436 1.0176189 0.9561108 1.2942284 7.2171222 3.5186870 0.5459218 3.5442633e-02 0.7527845 1.9276439 4.9814247 1 1 0
PPE_ENS_132 1.2487358 2.4329966 0.9086105 0.8491879 1.1846594 0.8233055 0.5179488 1.7271282 0.9047024 1.2493574 0.8557895 1.0641898 3.7339905e-08 5.5101390e-08 0.5237010 2.8416807e-03 4.6821699e-02 1.7575705 1.0933662 1.0392215 0.4529014 5.0495140 3.7365838 0.5925658 0.2733395 1.1003887 0.7991505 4.5510797 1 1 0
PPE_ENS_133 0.6684897 3.0125950 1.5073897 0.8608199 0.7959314 3.1568072 2.8240489 3.4100175 0.9707669 1.3785874 1.5831037 1.0389619 2.7997969e-08 4.0040374e-08 0.4209162 5.6768916e-04 8.6876492e-03 1.8162875 1.0392190 1.0803840 1.1757506 0.7874947 0.7665185 0.5057791 8.0449941e-02 1.0667637 1.8115646 3.5323846 1 1 0
PPE_ENS_134 2.1125864 3.5779662 1.5879536 0.6711584 0.9858193 1.2673584 0.5965043 3.8846841 0.9006565 1.1570183 1.3455272 1.0004878 1.8976103e-08 1.4358183e-07 0.5615319 4.7676378e-03 2.0135406e-02 0.7370603 1.9604547 0.9764480 1.5645140 7.3061453 2.8057869 0.4877644 0.3017288 1.1854614 0.8302832 3.6761767 1 1 0
PPE_ENS_135 0.8565038 1.8585311 1.7810574 1.4057453 1.3526713 0.7971594 2.3124524 1.3882289 1.0068969 2.5191551 1.4784992 0.9892910 2.8185706e-08 1.5269077e-07 0.7157796 3.3853724e-03 4.2778503e-02 1.3498867 0.6570593 1.0007895 2.8473900 2.5580491 3.2794994 0.5062495 0.1224762 0.7925932 1.0489537 2.6763063 1 1 0
