0 V_SCALE_BC_RAD_NI V_SCALE_DU_RAD_NI V_SCALE_DRYDEP_ACC V_SCALE_DRYDEP_AIT V_SCALE_DRYDEP_COA V_SCALE_EMI_BB V_SCALE_EMI_BF V_SCALE_EMI_ANTH_SO2 V_SCALE_EMI_DUST V_SCALE_SO2_REACTIONS V_SCALE_SO2_SO4_Fraction V_SCALE_EMI_SSA V_SCALE_EMI_CMR_BB V_SCALE_EMI_CMR_BF V_SCALE_EMI_CMR_FF V_SCALE_EMI_DMS V_SCALE_EMI_FF V_SCALE_NUC_FT V_SCALE_SO4_COATING V_SCALE_PH_PERT V_SCALE_WETDEP_BC V_SCALE_WETDEP_IC V_SCALE_KAPPA_SS V_SCALE_KAPPA_SO4 V_SCALE_CDNC_MIN INSTALL START END
PPE_PI_ENS_1 0.7881 2.4561e-03 0.6904 1.9289 0.3914 2.2377 3.0158 1.0699 1.7792 0.5172 2.2993 2.4475 0.6793 1.0259 1.1165 0.7037 0.7677 5.7222 2.4177 2.4348e-05 0.8579 1.9065 0.8880 0.6622 57.7657 0 0 0
PPE_PI_ENS_2 0.8862 2.4003e-03 0.4537 1.0102 0.6497 3.1382 0.7557 1.4032 0.6595 0.7341 2.5489 1.2371 1.2638 1.3152 1.1724 2.7651 1.6182 3.7435 2.0492 1.3506e-05 0.6308 0.7638 0.8583 0.5103 43.4649 0 0 0
PPE_PI_ENS_3 0.7388 2.9635e-03 0.4648 1.0734 1.9433 2.1948 1.0260 0.7892 1.7378 1.7574 1.4949 1.0278 1.0584 1.4752 0.5442 2.8322 1.4939 5.5645 4.8077 3.3612e-06 0.8384 1.3407 0.5311 0.5926 51.9831 0 0 0
PPE_PI_ENS_4 0.4659 2.6312e-03 0.5782 1.1817 2.7195 1.8371 3.5373 0.7759 1.9414 1.1439 2.1097 1.2290 0.8662 1.4986 1.3374 0.4372 1.3813 9.3433 1.9170 8.0905e-06 1.8387 0.6221 0.5780 0.5913 28.0782 0 0 0
PPE_PI_ENS_5 0.4753 2.0898e-03 1.4551 1.7849 2.2225 3.7759 0.2509 0.6177 0.8260 1.1502 1.8735 1.8468 0.7982 1.4358 0.6627 1.9221 1.5207 1.0363 3.3483 4.2771e-06 1.3377 1.6123 1.0549 0.4500 41.0597 0 0 0
PPE_PI_ENS_6 0.6112 1.9440e-04 0.6404 1.1733 4.7735 2.7998 2.2211 1.1548 0.6529 1.5093 1.1738 1.9216 0.7229 1.7923 0.8922 0.5939 1.4541 0.8579 3.4249 1.7338e-05 1.2374 0.8917 1.0618 0.4321 6.1121 0 0 0
PPE_PI_ENS_7 0.5692 1.2567e-03 1.1793 0.6120 0.3408 2.3586 0.5618 0.6348 1.1805 1.9400 2.1225 2.2642 0.9845 2.2708 0.8255 1.1043 1.5188 1.8655 1.5964 4.0899e-07 1.5791 0.8445 0.8290 0.4938 20.6559 0 0 0
PPE_PI_ENS_8 0.7074 9.5838e-03 0.4351 1.1209 1.0821 3.4380 3.1469 0.9319 1.4886 1.9633 2.0327 0.8887 1.1115 2.4331 1.4679 2.9293 1.2162 9.7309 3.3916 1.1235e-05 1.1489 0.5202 0.7511 0.7951 44.5438 0 0 0
PPE_PI_ENS_9 0.4242 4.6102e-03 0.8820 1.7496 1.7325 3.9637 3.2640 1.0385 1.8279 1.5019 2.9342 1.6478 0.6324 2.0856 1.4779 2.9715 1.0421 1.2801 4.4360 8.9313e-06 1.9358 0.8085 1.1679 0.5326 15.5034 0 0 0
PPE_PI_ENS_10 0.3021 6.3720e-03 1.0389 0.2462 1.1269 1.5066 2.6283 1.0424 0.5314 0.6627 1.9437 0.5630 0.9816 1.0778 0.7247 2.7921 1.3942 5.7708 1.7650 7.1684e-06 1.6512 1.7761 0.6450 0.4416 3.5652 0 0 0
PPE_PI_ENS_11 0.7164 7.4868e-03 1.0680 1.5539 0.5303 2.1412 1.8317 1.1244 1.5283 1.9860 2.1628 0.7088 0.8342 2.4178 0.7113 2.1559 0.6076 7.9498 1.7867 2.4459e-06 1.2163 0.5539 0.6325 0.7276 47.3697 0 0 0
PPE_PI_ENS_12 0.7519 1.6219e-03 0.6993 0.8255 4.8334 3.0955 3.9016 1.0615 1.6936 0.9741 2.1868 2.0733 0.7947 2.0609 1.1968 2.0552 1.1979 5.0510 3.0277 1.7766e-05 1.0205 1.6524 0.5882 0.6762 54.9863 0 0 0
PPE_PI_ENS_13 0.6307 5.0814e-03 1.4048 1.3760 0.5633 0.3861 1.0687 0.6201 1.5010 1.6186 1.5734 0.5988 0.9077 3.3313 0.7847 1.0047 1.4231 5.2055 1.6952 1.6841e-06 1.5140 0.8481 0.9677 0.6976 28.4343 0 0 0
PPE_PI_ENS_14 0.3861 2.6791e-03 1.1089 1.6573 2.7438 3.1635 1.9264 1.3524 1.1541 0.5561 1.6552 0.9555 0.9478 1.2384 0.6653 2.4517 0.8797 3.0172 0.4846 2.4830e-05 1.5114 0.6820 0.9321 0.5062 39.8316 0 0 0
PPE_PI_ENS_15 0.6972 8.3592e-04 0.2008 0.3689 0.4500 3.3542 1.5595 0.9887 1.9605 0.5763 2.4180 1.2030 1.3286 0.9263 0.7565 1.5759 1.9886 0.1230 2.0758 1.1701e-05 0.6494 1.5328 0.6822 0.5134 9.1729 0 0 0
PPE_PI_ENS_16 0.3422 8.3145e-03 0.7179 0.7982 1.6692 1.9009 3.9162 1.3994 1.0128 1.7251 2.4578 2.4656 0.7367 1.9791 0.7189 2.9080 1.4655 7.0611 2.8243 2.0782e-05 1.2287 0.9326 0.7753 0.5784 59.6777 0 0 0
PPE_PI_ENS_17 0.6621 1.3744e-03 0.5503 0.8842 3.5103 3.5098 2.7242 0.8592 1.2910 0.7146 2.5084 1.3003 0.9891 1.2554 0.7903 2.5139 0.7359 8.4958 4.0651 1.6595e-05 1.3751 1.5195 0.7972 0.5192 40.3225 0 0 0
PPE_PI_ENS_18 0.3147 4.7458e-03 1.2552 0.5121 4.0747 3.6729 1.7632 1.2082 1.5424 1.0751 2.5795 1.0776 0.7014 3.0766 1.3005 2.5515 1.5020 3.2285 4.5203 1.4055e-05 0.6611 1.4542 0.5924 0.5672 29.3224 0 0 0
PPE_PI_ENS_19 0.2509 8.0422e-03 1.3922 1.6823 3.0408 1.3497 0.5709 1.4207 0.6265 1.7635 2.3434 0.6876 0.4219 2.0970 0.9305 1.8234 1.3617 2.2238 3.8265 4.7389e-06 1.9670 0.7459 0.8324 0.4363 57.0763 0 0 0
PPE_PI_ENS_20 0.4031 6.7750e-03 0.6550 1.5457 2.9027 1.9870 3.1892 0.7398 0.7840 1.7504 1.2542 2.0857 1.1163 1.3773 0.9294 1.1578 0.7947 9.5166 4.9046 2.5726e-05 0.9123 1.3136 0.9002 0.6088 42.7361 0 0 0
PPE_PI_ENS_21 0.4954 1.9350e-03 0.4471 0.9413 2.1988 1.3930 3.6216 1.4267 1.8471 0.6818 2.7433 1.2773 0.7252 1.8206 0.8723 0.4805 0.8512 9.6498 3.4663 1.5423e-05 1.5715 0.9463 0.6630 0.4865 18.7531 0 0 0
PPE_PI_ENS_22 0.8259 7.7626e-03 0.7862 0.6756 4.5620 0.6231 1.5693 1.1406 0.7394 1.5797 1.9282 1.9090 1.1460 3.0568 1.0568 2.2001 0.5480 2.3654 4.2386 2.2649e-06 0.6877 1.2415 0.7850 0.5371 3.7392 0 0 0
PPE_PI_ENS_23 0.6283 5.8859e-03 0.9359 1.6022 4.2159 3.8368 3.1197 0.7072 0.9001 1.3062 1.1600 0.8973 0.3988 2.5707 0.5216 2.8566 1.9191 8.3510 3.7929 3.0033e-05 1.8598 0.6095 0.8233 0.4253 52.5728 0 0 0
PPE_PI_ENS_24 0.7820 8.1087e-03 0.4109 0.7188 3.0839 2.1483 2.3987 1.2901 1.7622 1.9104 1.9619 2.3213 0.5559 2.5464 1.3727 2.6372 1.2496 3.4332 4.3123 5.0111e-06 1.5336 1.0194 1.1128 0.7320 38.7258 0 0 0
PPE_PI_ENS_25 0.6827 6.8299e-03 1.0829 0.6491 1.2930 3.4349 0.9426 0.8276 1.3770 1.2575 1.7079 1.2158 1.1581 1.2585 1.4467 2.6752 1.2719 0.9440 1.8067 3.0592e-05 1.6328 1.9319 1.0993 0.6064 55.7262 0 0 0
PPE_PI_ENS_26 0.5655 5.5179e-03 0.6248 0.8500 2.5320 2.3194 1.8529 1.2012 1.7049 1.7792 1.3799 1.0028 0.6516 2.5405 0.6932 1.3311 0.5023 6.0368 2.1713 1.2446e-05 1.7692 0.9712 1.0793 0.4015 24.1041 0 0 0
PPE_PI_ENS_27 0.3786 9.8590e-03 0.1939 1.6583 2.0613 2.9658 2.2473 1.4972 1.3793 1.5500 1.2223 1.0530 0.7329 2.8427 0.9070 0.3435 0.7565 8.5441 0.8670 5.2133e-06 1.8683 0.8776 0.6081 0.7188 16.3217 0 0 0
PPE_PI_ENS_28 0.3218 5.5884e-03 0.9611 0.4074 1.1109 3.8837 3.8141 0.8210 1.6441 1.1850 1.8877 2.1875 0.3358 2.7551 0.7304 2.1022 1.9079 4.4259 3.1055 8.5825e-06 1.7993 1.3225 0.5411 0.5014 14.5400 0 0 0
PPE_PI_ENS_29 0.4197 9.6360e-03 0.7381 0.6166 4.3467 0.9214 0.8018 0.6093 0.8222 1.7446 1.8455 0.9653 0.5138 1.5749 1.0500 1.9377 1.9407 6.6262 2.5030 2.7874e-05 0.7264 1.7922 0.6003 0.6149 30.9338 0 0 0
PPE_PI_ENS_30 0.2601 6.1909e-05 0.9444 0.6945 0.7894 0.3432 1.1688 1.1158 1.5670 1.3703 1.4028 1.6130 1.0044 1.9024 1.2916 0.8725 0.9052 2.7593 3.6581 1.2025e-05 1.8751 1.6430 0.9587 0.5845 1.2717 0 0 0
PPE_PI_ENS_31 0.8350 4.5898e-05 0.9249 1.6146 2.4938 0.8250 1.9903 0.7498 0.8688 0.9040 2.4343 2.3566 1.1570 3.2503 1.4202 0.8472 0.8582 7.6603 1.1455 6.5963e-06 0.9678 0.6662 0.9368 0.7699 46.7936 0 0 0
PPE_PI_ENS_32 0.6868 3.3633e-03 1.4362 1.3341 4.8596 2.5219 1.8918 0.8488 0.9426 1.5367 1.4611 2.3900 0.5073 1.0472 0.5292 0.4114 1.6116 2.0765 1.9690 1.1850e-05 1.0417 1.1661 0.9467 0.6424 13.3988 0 0 0
PPE_PI_ENS_33 0.6561 6.6471e-03 1.2988 0.4313 4.5700 3.2544 1.3002 1.2819 0.5823 1.0447 2.7953 1.6952 1.2923 2.6313 0.6298 1.9775 1.4060 6.7212 1.9969 1.1342e-05 1.5219 1.9415 0.9736 0.5535 19.0240 0 0 0
PPE_PI_ENS_34 0.2645 6.0221e-03 0.3013 1.3960 0.5463 3.9997 0.3341 1.3616 1.1860 1.4591 1.8276 1.3120 0.4232 2.8595 0.5559 1.9096 1.7420 3.1924 2.5560 7.0639e-06 0.5060 0.9970 0.9102 0.7513 15.2722 0 0 0
PPE_PI_ENS_35 0.6012 4.6924e-03 1.0587 1.0331 3.9325 2.1067 0.7039 1.1300 1.5647 0.7673 1.0446 1.5884 0.7620 1.7263 0.5125 2.2699 0.7891 2.6499 4.2018 1.4325e-05 1.0910 0.5414 0.6387 0.5729 13.0970 0 0 0
PPE_PI_ENS_36 0.5287 4.9507e-04 0.3092 0.3221 1.2178 0.6610 2.4324 1.4078 1.9742 1.6066 1.4415 2.4165 1.2722 2.1890 0.8238 1.3815 1.0056 4.4898 4.4032 6.6645e-06 1.1153 1.5718 0.7074 0.6279 53.5134 0 0 0
PPE_PI_ENS_37 0.8075 2.3299e-03 0.4919 1.1492 3.5294 3.2059 2.8560 1.0996 0.8660 1.5918 2.6316 1.8087 0.5782 2.4864 0.7090 1.5618 0.6242 8.6239 4.6594 1.7149e-05 0.8772 0.5906 1.0528 0.7480 17.3478 0 0 0
PPE_PI_ENS_38 0.8034 7.5960e-03 0.5222 1.4302 1.5636 1.3130 2.9273 1.3486 0.7172 0.9092 2.8965 0.5466 0.8883 2.9313 0.5921 2.7399 1.5713 0.7715 2.6325 5.2292e-07 1.2905 0.9108 0.8730 0.6526 4.1417 0 0 0
PPE_PI_ENS_39 0.2774 6.2414e-03 1.1076 0.4521 3.8725 3.4173 2.7773 0.6486 1.7687 1.2302 1.8126 0.8030 0.6646 1.6404 1.2102 2.7099 1.4353 0.4222 4.9683 2.5029e-05 1.7052 1.2542 1.0716 0.7214 54.6374 0 0 0
PPE_PI_ENS_40 0.6682 9.4496e-03 0.7263 1.4543 3.3848 0.4172 3.4943 0.6862 1.9208 1.4118 2.3011 1.0674 0.7486 2.5146 0.8880 2.1378 1.8978 3.1188 3.1325 1.2116e-05 0.5255 1.7706 1.1460 0.7071 22.9273 0 0 0
PPE_PI_ENS_41 0.8523 5.6464e-03 1.4971 1.4620 2.9339 1.0194 3.1145 1.2124 1.5951 1.1223 2.2187 0.7776 0.3470 2.9513 0.6123 1.6024 1.7204 1.1159 2.2037 1.9669e-05 1.3047 1.7258 0.9893 0.6476 14.8840 0 0 0
PPE_PI_ENS_42 0.5816 1.3275e-03 0.9947 1.0058 3.0964 1.2909 0.6691 1.4647 0.6655 1.8613 2.8154 2.3063 0.4385 1.4884 1.2995 1.4289 1.2074 4.6848 1.8526 2.0309e-05 1.9965 0.7973 1.0841 0.7432 59.0647 0 0 0
PPE_PI_ENS_43 0.3952 1.0181e-03 0.8473 1.1107 2.2462 3.4576 1.1681 1.3275 0.5960 1.3218 2.8751 0.5233 0.3549 1.9300 1.0104 1.7221 0.5128 7.5779 3.7247 5.9148e-07 1.0083 0.7002 1.1963 0.7221 29.2321 0 0 0
PPE_PI_ENS_44 0.8830 6.8958e-03 0.9314 0.7660 0.8527 1.6666 1.9529 1.4626 1.5563 1.8811 1.7931 1.5155 0.5122 2.1707 1.3771 2.1939 1.2552 5.1796 2.1107 7.5209e-06 1.4945 1.1521 0.5184 0.5993 2.5162 0 0 0
PPE_PI_ENS_45 0.7269 6.4798e-03 0.2952 0.2752 3.3630 2.0037 1.7438 1.4447 1.3538 1.6905 1.0510 0.5381 0.9507 1.7498 1.3514 0.8074 0.6578 9.8228 0.6748 2.0206e-05 0.6397 0.9410 0.6294 0.5968 21.8330 0 0 0
PPE_PI_ENS_46 0.6750 4.4984e-03 1.1345 1.4347 3.8539 3.3686 3.0946 0.9498 0.8972 0.8149 1.9577 1.1738 0.4449 2.8811 0.8141 1.7325 1.0717 3.8517 3.6174 1.6154e-05 0.8039 0.7259 0.6364 0.4037 58.5769 0 0 0
