0 SCALE_EMI_DMS SCALE_EMI_SHP_SO2 SCALE_EMI_ANTNS_SO2 SCALE_EMI_ANT_BC SCALE_EMI_ANT_OC SCALE_EMI_BB_SO2 SCALE_EMI_BB_BC SCALE_EMI_BB_OC SCALE_FRICV SCALE_EMI_SS_ACC SCALE_EMI_SS_COARSE SCALE_SEASALT_EXPO SCALE_EMI_CMR_FF SCALE_EMI_CMR_BB BC_RAD_NI DU_RAD_NI SCALE_SO2_REACTIONS SCALE_DMS_REACTIONS SCALE_WETDEP_IC SCALE_WETDEP_BC SCALE_DRYDEP_ACC SCALE_SO4_COATING KAPPA_SO4 KAPPA_OC SCALE_ACTIVATION SCALE_VERTICAL_VELOCITY SCALE_NUC_FT INSTALL START END
PPE_ENS_1 0.8726907 0.4020314 0.6211768 0.8152186 1.3882033 1.8734924 2.1341861 0.8767188 0.9544127 1.3788785 1.7142651 0.9703649 2.1586270e-08 3.4250354e-08 0.8063061 4.5884149e-03 1.8417315 1.5723388 0.7971636 2.1887877 3.3309344 1.4101860 0.4295534 8.2530823e-02 1.2026482 1.7493507 1.4485127 0 0 0
PPE_ENS_2 0.6575854 2.4685667 0.6865603 1.5286881 0.9783608 1.9306183 2.7242182 0.9217717 0.9065624 1.6548232 0.2957829 1.0954671 3.3824351e-08 1.1757570e-07 0.6622094 3.8318976e-03 0.9357146 1.2236572 0.8651325 1.5251717 2.3467081 0.9390219 0.7211041 7.6158451e-02 0.9495667 1.6927581 0.3538360 0 0 0
PPE_ENS_3 1.4081578 1.0438240 1.3658813 0.9129866 1.3702596 2.5665045 0.6518157 2.0895287 0.9436289 0.3623041 1.6076226 0.9512789 2.8326968e-08 9.3613286e-08 0.6676209 1.5192705e-03 0.5613748 1.6328217 1.2165590 0.6653475 0.3612782 1.6669520 0.7871829 7.1778153e-02 1.0565994 0.5737602 0.9745452 0 0 0
PPE_ENS_4 0.9084178 0.6886699 0.7952245 1.7985855 1.0519450 1.0114617 1.2849674 0.3305789 0.9515793 1.3034692 1.7217883 0.9534192 3.5689453e-08 1.4999631e-07 0.5489592 5.5777761e-03 0.6179545 0.9339069 1.2057837 1.0951096 2.6867787 3.1918443 0.7455710 0.2198289 0.8008596 1.8935904 0.6186210 0 0 0
PPE_ENS_5 1.9839748 1.3778078 0.6010724 1.1794052 1.1891402 0.3322795 1.8494643 1.8056467 1.0810887 0.9605212 0.8870996 0.9196243 4.3708694e-08 1.2282756e-07 0.5994242 1.5739808e-03 1.0385648 1.9070477 1.0444109 2.3626913 2.1258447 3.1690634 0.7445956 0.1479174 1.1177993 1.5354172 2.3586245 0 0 0
PPE_ENS_6 2.6280777 1.2536861 0.6173558 1.0826592 1.5907898 1.7073540 1.5747589 3.5526491 1.0579623 0.4757312 1.4478511 1.0806962 3.3219212e-08 1.5637683e-07 0.6142023 4.9837951e-03 1.3819397 1.2322122 1.1655013 1.3128383 0.9919812 3.5582863 0.6819836 0.1189503 0.9685795 0.7364305 4.7469765 0 0 0
PPE_ENS_7 0.3755984 1.1217143 1.2684664 1.6577730 1.2981581 0.3705676 0.7680952 1.4532988 0.9688068 1.0202404 1.5683463 0.9387211 1.8260853e-08 1.5482965e-07 0.4312825 3.3279015e-03 1.6398294 1.2634046 0.9056116 1.8284037 4.9022779 1.1222915 0.5696070 0.1564630 1.1986906 0.7175541 2.0896649 0 0 0
PPE_ENS_8 1.4844202 1.1009995 1.1487903 1.7661450 1.2111999 2.2209320 3.4441652 1.9203286 1.0587399 1.3985996 1.8168612 0.9862612 4.1689922e-08 1.1982219e-07 0.7418674 3.3032139e-03 0.6041027 0.6424832 0.8500335 1.3841807 1.2907295 0.9511797 0.6725933 0.1489979 0.8624803 1.9750523 0.5252054 0 0 0
PPE_ENS_9 0.2830688 3.9125379 1.1264649 1.2955785 1.3069545 1.4080649 1.0496187 2.3717084 0.9775423 1.1937588 1.4273584 0.9406960 1.8363321e-08 2.1085107e-07 0.5160172 3.5329344e-03 1.6192606 0.5915780 1.1849764 2.2864540 2.9594714 2.7519790 0.5042966 7.0353267e-02 0.9393818 1.4672219 1.1066448 0 0 0
PPE_ENS_10 2.8972664 0.7612858 1.6482819 1.4202813 1.1372468 2.0108790 3.3870757 2.7142821 1.0349523 2.3693422 1.1512398 1.0469584 1.9431137e-08 1.9941193e-07 0.8306693 1.4485577e-03 1.6584459 0.6536026 0.9279592 0.7097127 4.7119692 3.4908493 0.5577639 6.1825336e-02 0.9656526 0.7304253 1.7501069 0 0 0
