0 SCALE_EMI_DMS SCALE_EMI_SHP_SO2 SCALE_EMI_ANTNS_SO2 SCALE_EMI_ANT_BC SCALE_EMI_ANT_OC SCALE_EMI_BB_SO2 SCALE_EMI_BB_BC SCALE_EMI_BB_OC SCALE_FRICV SCALE_EMI_SS_ACC SCALE_EMI_SS_COARSE SCALE_SEASALT_EXPO SCALE_EMI_CMR_FF SCALE_EMI_CMR_BB BC_RAD_NI DU_RAD_NI OC_RAD_NI SCALE_SO2_REACTIONS SCALE_DMS_REACTIONS SCALE_WETDEP_IC SCALE_WETDEP_BC SCALE_DRYDEP_ACC SCALE_SO4_COATING KAPPA_SO4 KAPPA_OC SCALE_ACTIVATION SCALE_VERTICAL_VELOCITY SCALE_NUC_FT INSTALL START END
PPE_ENS_1 2.9169886 0.4587414 1.6350213 0.6945437 1.2684154 0.6804984 2.1779706 0.3547156 1.0325264 0.6174103 1.3836287 0.9179186 2.7799298e-08 2.2506138e-07 0.4944270 1.4530680e-03 1.3074770e-02 1.4902589 0.6645956 1.0559512 0.5731958 1.0054015 1.5505382 0.3246310 7.0455385e-02 0.8734701 0.6650946 1.8495795 0 0 0
PPE_ENS_2 1.3970007 2.8397680 1.7602432 1.2045878 0.8732077 3.0425883 2.4719828 3.1893622 0.9118379 2.3612514 0.7228569 1.0332500 2.3416179e-08 1.2974672e-07 0.5729274 4.0671464e-03 2.9721519e-02 1.6039793 0.9152924 1.0142491 1.3754163 0.6515771 2.0399092 0.3384362 6.0507377e-02 0.8217602 1.9526358 5.6865994 0 0 0
PPE_ENS_3 0.9273401 0.9602421 1.4646155 0.7966979 0.6212986 2.6983305 3.1107606 3.4967804 0.8861023 0.2307523 1.4580405 0.9102301 4.4373042e-08 2.1424611e-07 0.5897822 2.6910302e-03 6.5343820e-02 1.4037551 1.5923193 0.8784582 0.8091843 2.2271029 0.3999838 0.4429505 9.3426440e-02 0.9295697 1.0037729 8.7165220 0 0 0
PPE_ENS_4 1.7470440 2.1508488 0.6612696 1.4762350 0.6464184 2.7103958 0.2956772 1.8178876 0.9014403 1.5252307 1.7904950 1.0662180 2.6111136e-08 1.9141031e-07 0.5130955 2.4366918e-03 3.1131772e-02 1.3581435 1.2024339 0.9413755 1.4877790 5.8283876 1.8227953 0.7381233 4.5946512e-02 1.1964435 1.7199410 0.8921653 0 0 0
PPE_ENS_5 1.6152317 0.8950094 1.7053243 1.0924301 1.2957880 3.1962230 3.7890154 1.3668399 0.8564336 0.9165744 0.9047813 1.0627480 4.4948905e-08 1.0972784e-07 0.2495471 1.9892507e-03 4.8922161e-02 1.9737018 1.3460723 1.2045220 1.6291451 0.4987001 2.9770085 0.7078829 0.1204564 1.0523978 0.8060853 0.4511845 0 0 0
PPE_ENS_6 1.0896188 0.3265079 0.9124143 0.9366837 0.6436163 3.2921040 1.7714448 3.4312343 1.0695822 0.5002870 1.8213053 0.9989519 3.7959649e-08 6.0580940e-08 0.5796609 1.4237576e-03 1.3621763e-02 1.5907609 1.2545750 1.0683471 0.7549190 3.5949947 2.0110946 0.7805435 9.9684255e-02 1.2427722 1.2589044 2.4796490 0 0 0
PPE_ENS_7 2.3280725 0.2613974 1.5248325 1.7690137 1.7779651 0.9377801 0.8496843 1.0326605 1.0409738 0.9632465 1.8789132 0.9211739 2.4467330e-08 1.3492334e-07 0.6899802 1.8382747e-03 4.4109292e-02 1.6887113 1.9409462 0.8751381 0.5868323 3.8231270 3.6028047 0.7087814 0.1555376 0.9072528 1.7426034 3.1432026 0 0 0
PPE_ENS_8 2.0903941 1.6268211 1.2300112 1.3981227 0.8037740 3.6367767 3.2563313 2.6201111 1.0556393 0.6527116 2.2191595 0.9974102 3.0937723e-08 8.5051638e-08 0.6490573 4.5737228e-03 1.3359059e-02 0.5127615 1.3566929 0.7717185 0.5396527 0.3540088 1.7924391 0.7944619 6.1987199e-02 1.1719604 1.3083395 3.2683820 0 0 0
PPE_ENS_9 0.4006899 3.8069404 1.2947435 0.7535868 1.6709798 1.3024473 1.7038478 3.6093516 1.0798757 1.9420789 2.5015066 1.0747775 2.7499160e-08 9.0245927e-08 0.3916853 5.6360574e-04 3.3305253e-02 0.9020943 0.7410691 1.1120709 1.9336029 0.4135798 3.1847437 0.3310316 0.1967550 0.9946646 1.5681444 4.6864547 0 0 0
PPE_ENS_10 2.2228319 0.7963124 0.7510661 1.5625728 1.2262142 3.8429600 3.1422569 2.4157303 0.9890724 1.3181234 1.6255906 0.9160175 3.5670009e-08 1.5412102e-07 0.6333642 5.2600476e-03 1.7646687e-02 1.4553716 1.7476816 1.0993738 1.0902120 5.4682875 0.4245852 0.5623103 0.3473317 1.2070529 1.6189202 2.9214771 0 0 0
